date,open,high,low,close
2008-01-01,5370.35,5399.75,5348.85,5384.55
2008-01-02,5407.65,5449.95,5331.2,5437.8
2008-01-03,5412.95,5478.7,5411.45,5442.2
2008-01-04,5488.75,5527.8,5484.95,5502.6
2008-01-07,5443.05,5518.0,5442.9,5500.15
2008-01-08,5543.15,5563.5,5402.35,5460.3
2008-01-09,5454.85,5505.15,5403.95,5451.9
2008-01-10,5455.05,5518.25,5308.45,5319.9
2008-01-11,5355.0,5370.1,5252.25,5348.2
2008-01-14,5365.0,5396.75,5344.35,5385.25
2008-01-15,5393.7,5427.15,5270.45,5282.1
2008-01-16,5195.25,5217.95,5063.25,5164.95
2008-01-17,5187.6,5229.45,5131.75,5151.15
2008-01-18,5103.55,5132.7,4908.5,4925.85
2008-01-21,4834.0,4834.0,4258.85,4425.55
2008-01-22,3996.15,4208.15,3744.45,4134.3
2008-01-23,4383.3,4510.5,4207.15,4417.0
2008-01-24,4532.15,4553.15,4223.4,4267.1
2008-01-25,4269.0,4574.2,4269.0,4567.2
2008-01-28,4404.8,4507.55,4327.95,4497.5
2008-01-29,4560.65,4595.8,4448.05,4491.25
2008-01-30,4494.4,4494.4,4373.3,4385.6
2008-01-31,4399.0,4442.0,4286.85,4349.0
2008-02-01,4404.1,4461.85,4307.05,4450.05
2008-02-04,4555.95,4639.95,4533.0,4588.4
2008-02-05,4569.2,4629.45,4557.2,4617.3
2008-02-06,4448.1,4525.95,4436.7,4503.4
2008-02-07,4515.8,4538.3,4344.2,4354.2
2008-02-08,4365.35,4378.6,4243.9,4313.95
2008-02-11,4295.3,4295.3,4045.4,4086.8
2008-02-12,4128.0,4151.6,4044.75,4054.4
2008-02-13,4054.2,4162.7,4054.2,4111.65
2008-02-14,4257.65,4351.4,4250.05,4343.55
2008-02-15,4274.4,4441.15,4274.4,4432.6
2008-02-18,4462.7,4462.7,4387.95,4421.3
2008-02-19,4470.2,4499.6,4415.55,4428.7
2008-02-20,4394.1,4398.7,4297.05,4326.35
2008-02-21,4379.75,4401.75,4302.55,4357.35
2008-02-22,4292.4,4317.2,4283.65,4295.35
2008-02-25,4332.25,4353.75,4240.85,4346.85
2008-02-26,4377.65,4414.7,4371.05,4406.05
2008-02-27,4462.85,4485.55,4394.0,4407.95
2008-02-28,4400.05,4423.6,4371.6,4404.35
2008-02-29,4385.0,4399.8,4271.6,4360.7
2008-03-03,4236.55,4262.25,4126.8,4138.95
2008-03-04,4148.05,4153.85,3993.2,4045.3
2008-03-05,4035.95,4079.85,4012.9,4065.65
2008-03-07,3974.2,3974.2,3845.65,3922.5
2008-03-10,3838.45,3937.55,3771.7,3927.9
2008-03-11,3908.1,4036.2,3886.35,4024.4
2008-03-12,4133.0,4152.65,3996.3,4010.15
2008-03-13,3980.0,3980.0,3758.8,3785.1
2008-03-14,3807.0,3878.15,3777.55,3868.65
2008-03-17,3754.8,3754.8,3627.65,3642.35
2008-03-18,3623.5,3705.05,3613.65,3642.8
2008-03-19,3779.85,3785.05,3644.2,3657.8
2008-03-24,3681.3,3708.65,3603.45,3656.45
2008-03-25,3736.85,3894.6,3736.05,3879.75
2008-03-26,3883.9,3917.75,3846.1,3867.25
2008-03-27,3841.25,3895.25,3828.5,3862.25
2008-03-28,3884.9,3986.75,3852.25,3971.15
2008-03-31,3953.35,3953.35,3804.35,3825.85
2008-04-01,3860.15,3866.85,3746.9,3817.45
2008-04-02,3929.6,3946.2,3827.95,3835.5
2008-04-03,3842.6,3880.85,3819.9,3840.3
2008-04-04,3842.45,3843.0,3738.4,3747.95
2008-04-07,3777.55,3853.65,3739.15,3830.5
2008-04-08,3830.5,3834.6,3782.2,3807.1
2008-04-09,3783.3,3850.8,3782.35,3844.4
2008-04-10,3834.15,3880.85,3823.7,3830.75
2008-04-11,3866.25,3888.1,3829.95,3861.7
2008-04-15,3841.85,3954.5,3813.45,3938.0
2008-04-16,3986.6,4001.15,3949.75,3959.75
2008-04-17,4005.15,4038.95,3998.9,4027.9
2008-04-21,4069.3,4104.95,4069.3,4099.75
2008-04-22,4075.8,4135.5,4075.8,4120.85
2008-04-23,4140.6,4146.8,4088.45,4105.25
2008-04-24,4111.0,4141.25,4080.2,4083.6
2008-04-25,4102.4,4166.2,4099.45,4162.55
2008-04-28,4185.2,4186.1,4150.1,4156.9
2008-04-29,4162.65,4242.55,4153.05,4233.25
2008-04-30,4253.9,4266.0,4215.0,4222.1
2008-05-02,4290.95,4291.2,4258.6,4280.4
2008-05-05,4298.3,4315.95,4260.1,4267.85
